day,hour,festival,rain,weather,vehicle_count,traffic_density
Friday,14,Ganesh Chaturthi,1,Cloudy,818,0.709
Thursday,11,Ganesh Chaturthi,1,Cloudy,1192,0.896
Friday,4,Diwali,0,Cloudy,1124,0.762
Saturday,9,Diwali,0,Cloudy,1952,1.0
Wednesday,5,Diwali,1,Clear,1003,0.8015
Wednesday,9,Diwali,0,Cloudy,1702,1.0
Sunday,19,None,1,Clear,1152,0.6759999999999999
Sunday,1,Diwali,0,Cloudy,994,0.6970000000000001
Sunday,9,None,1,Clear,406,0.30300000000000005
Thursday,9,None,0,Cloudy,946,0.473
Sunday,10,Christmas,1,Clear,1510,1.0
Wednesday,16,Christmas,0,Clear,675,0.5375000000000001
Monday,12,Diwali,1,Rainy,1568,1.0
Saturday,10,Diwali,1,Clear,1785,1.0
Monday,12,Christmas,0,Clear,655,0.5275000000000001
Saturday,20,Eid,1,Clear,171,0.38550000000000006
Thursday,1,Christmas,1,Clear,1622,1.0
Friday,10,None,1,Clear,1237,0.7185
Friday,1,Christmas,0,Rainy,456,0.42800000000000005
Saturday,17,Eid,1,Clear,1454,1.0
Saturday,14,Diwali,1,Cloudy,1221,0.9105
Wednesday,13,None,0,Cloudy,553,0.2765
Sunday,11,Eid,0,Cloudy,503,0.4515
Wednesday,3,Eid,1,Cloudy,1442,1.0
Tuesday,9,Christmas,1,Rainy,834,0.717
Friday,20,Christmas,0,Clear,1198,0.7989999999999999
Tuesday,10,Diwali,0,Cloudy,226,0.313
Tuesday,23,Eid,0,Clear,1265,0.8325
Tuesday,5,Ganesh Chaturthi,1,Rainy,1771,1.0
Tuesday,2,Ganesh Chaturthi,1,Rainy,238,0.41900000000000004
Wednesday,13,None,0,Rainy,1327,0.6635
Tuesday,19,Ganesh Chaturthi,1,Cloudy,1485,1.0
Tuesday,2,Ganesh Chaturthi,0,Clear,1824,1.0
Friday,12,Eid,0,Rainy,785,0.5925
Tuesday,5,Eid,1,Clear,112,0.356
Tuesday,18,Ganesh Chaturthi,0,Rainy,225,0.3125
Saturday,4,Christmas,1,Rainy,1431,1.0
Wednesday,13,Eid,0,Clear,959,0.6795
Tuesday,3,Christmas,0,Clear,1597,0.9984999999999999
Wednesday,7,Diwali,0,Rainy,1427,0.9135
Monday,7,None,1,Clear,810,0.505
Friday,20,Diwali,0,Rainy,812,0.6060000000000001
Sunday,2,Eid,1,Rainy,1617,1.0
Wednesday,1,Eid,0,Rainy,1973,1.0
Sunday,7,Diwali,1,Rainy,1767,1.0
Sunday,11,Diwali,1,Cloudy,149,0.37450000000000006
Thursday,22,Ganesh Chaturthi,0,Rainy,174,0.28700000000000003
Friday,4,None,1,Rainy,1806,1.0
Friday,3,Ganesh Chaturthi,1,Rainy,664,0.632
Saturday,23,Diwali,1,Rainy,1287,0.9434999999999999
Saturday,0,Eid,1,Rainy,1775,1.0
Friday,23,Diwali,1,Rainy,1682,1.0
Friday,11,Ganesh Chaturthi,1,Clear,695,0.6475
Monday,21,Diwali,1,Cloudy,1957,1.0
Thursday,2,Ganesh Chaturthi,0,Rainy,1993,1.0
Monday,1,Eid,1,Clear,1345,0.9725
Wednesday,6,Diwali,0,Rainy,1449,0.9245000000000001
Wednesday,9,Eid,0,Cloudy,900,0.65
Tuesday,19,Christmas,1,Cloudy,452,0.526
Thursday,9,None,1,Cloudy,1435,0.8175
Friday,6,Christmas,1,Clear,1743,1.0
Saturday,7,Diwali,0,Clear,967,0.6835
Saturday,19,Eid,1,Cloudy,1968,1.0
Thursday,17,Christmas,0,Rainy,1624,1.0
Wednesday,1,None,0,Cloudy,1574,0.787
Sunday,5,None,0,Cloudy,594,0.297
Sunday,18,Ganesh Chaturthi,1,Clear,1969,1.0
Wednesday,20,None,1,Cloudy,532,0.366
Monday,5,None,1,Cloudy,1286,0.743
Friday,12,Eid,0,Rainy,1929,1.0
Tuesday,10,Diwali,0,Cloudy,587,0.4935
Wednesday,0,Diwali,0,Clear,1955,1.0
Thursday,19,Eid,0,Cloudy,495,0.4475
Thursday,13,Christmas,1,Rainy,1838,1.0
Wednesday,2,Eid,0,Rainy,253,0.3265
Sunday,13,Diwali,1,Rainy,1025,0.8124999999999999
Saturday,3,Diwali,1,Cloudy,1709,1.0
Sunday,16,Christmas,0,Rainy,792,0.5960000000000001
Thursday,16,Christmas,1,Clear,1578,1.0
Wednesday,16,Ganesh Chaturthi,0,Cloudy,1236,0.8180000000000001
Saturday,17,Diwali,0,Clear,1600,1.0
Wednesday,22,Diwali,0,Cloudy,1310,0.855
Saturday,20,Eid,0,Rainy,840,0.62
Friday,22,Diwali,0,Rainy,1960,1.0
Monday,22,Ganesh Chaturthi,1,Cloudy,692,0.646
Friday,23,Eid,1,Rainy,1077,0.8384999999999999
Wednesday,16,None,1,Cloudy,646,0.42300000000000004
Monday,9,Christmas,1,Clear,1037,0.8184999999999999
Friday,6,None,0,Cloudy,1814,0.907
Monday,17,Christmas,1,Clear,1788,1.0
Monday,11,Diwali,1,Rainy,1147,0.8735
Monday,13,Diwali,0,Cloudy,1417,0.9085000000000001
Sunday,6,Ganesh Chaturthi,0,Cloudy,1514,0.9570000000000001
Monday,9,Eid,0,Rainy,1815,1.0
Sunday,19,Eid,1,Clear,1139,0.8695
Saturday,18,Christmas,0,Rainy,1864,1.0
Tuesday,17,Eid,0,Clear,532,0.466
Monday,15,Diwali,1,Cloudy,1923,1.0
Sunday,14,Diwali,0,Rainy,1072,0.736
Tuesday,0,None,0,Rainy,615,0.3075
Tuesday,14,None,0,Clear,1527,0.7635
Sunday,7,Ganesh Chaturthi,1,Cloudy,274,0.43700000000000006
Saturday,3,None,0,Rainy,1809,0.9045
Monday,23,Christmas,0,Cloudy,1130,0.7649999999999999
Sunday,3,Eid,1,Cloudy,728,0.664
Monday,1,None,0,Cloudy,1082,0.541
Monday,4,Eid,0,Rainy,1673,1.0
Wednesday,10,Diwali,1,Clear,1256,0.928
Saturday,10,None,1,Rainy,1148,0.6739999999999999
Monday,16,Eid,1,Rainy,1407,1.0
Tuesday,23,Eid,0,Clear,1447,0.9235
Wednesday,8,Ganesh Chaturthi,0,Rainy,554,0.47700000000000004
Tuesday,17,None,0,Clear,493,0.2465
Thursday,10,Eid,0,Clear,595,0.4975
Wednesday,15,Ganesh Chaturthi,1,Clear,1990,1.0
Saturday,22,Diwali,0,Cloudy,871,0.6355
Tuesday,23,Eid,0,Cloudy,1715,1.0
Sunday,20,None,1,Clear,203,0.2015
Sunday,0,Christmas,1,Clear,262,0.43100000000000005
Friday,1,None,0,Cloudy,301,0.1505
Tuesday,18,Ganesh Chaturthi,0,Clear,1708,1.0
Wednesday,9,Diwali,0,Rainy,135,0.2675
Friday,15,Eid,1,Cloudy,1451,1.0
Friday,18,Eid,1,Cloudy,1504,1.0
Saturday,16,Eid,0,Rainy,1261,0.8305
Wednesday,1,Christmas,1,Clear,381,0.49050000000000005
Friday,23,Eid,1,Rainy,702,0.6509999999999999
Monday,16,Diwali,0,Cloudy,257,0.3285
Sunday,21,Christmas,0,Clear,1424,0.9119999999999999
Monday,14,Eid,0,Clear,167,0.28350000000000003
Tuesday,4,None,1,Cloudy,1492,0.846
Tuesday,17,Diwali,1,Rainy,1990,1.0
Monday,12,Diwali,0,Rainy,1074,0.7370000000000001
Friday,13,Eid,1,Clear,1426,1.0
Tuesday,20,Eid,1,Cloudy,1267,0.9334999999999999
Saturday,17,Diwali,1,Rainy,1912,1.0
Sunday,18,Ganesh Chaturthi,0,Cloudy,1211,0.8055000000000001
Tuesday,9,None,0,Rainy,1340,0.67
Monday,19,Eid,1,Cloudy,1227,0.9135000000000001
Saturday,6,Christmas,1,Rainy,614,0.607
Friday,20,Christmas,1,Cloudy,298,0.44899999999999995
Monday,17,Diwali,0,Cloudy,1909,1.0
Friday,21,Diwali,0,Cloudy,1608,1.0
Thursday,19,Christmas,0,Cloudy,1497,0.9485000000000001
Friday,2,Ganesh Chaturthi,1,Cloudy,1545,1.0
Wednesday,14,None,1,Clear,474,0.33699999999999997
Wednesday,22,Ganesh Chaturthi,0,Cloudy,808,0.6040000000000001
Monday,10,None,1,Clear,1853,1.0
Thursday,8,Eid,1,Clear,297,0.4485
Saturday,15,Christmas,1,Rainy,1505,1.0
Tuesday,11,Diwali,0,Cloudy,1941,1.0
Wednesday,8,Diwali,0,Clear,1882,1.0
Saturday,4,Diwali,0,Clear,769,0.5845
Wednesday,10,Christmas,0,Cloudy,744,0.5720000000000001
Thursday,13,Eid,1,Cloudy,1018,0.809
Tuesday,22,None,0,Rainy,599,0.2995
Friday,18,Diwali,0,Cloudy,448,0.42400000000000004
Sunday,1,Christmas,0,Clear,1471,0.9355
Monday,7,None,1,Cloudy,715,0.4575
Sunday,8,Eid,0,Cloudy,1804,1.0
Sunday,1,Ganesh Chaturthi,0,Rainy,1658,1.0
Tuesday,1,Diwali,1,Cloudy,491,0.5455
Sunday,4,Diwali,1,Clear,1647,1.0
Thursday,19,None,1,Clear,601,0.40049999999999997
Tuesday,3,Ganesh Chaturthi,0,Clear,442,0.42100000000000004
Saturday,3,Diwali,1,Rainy,1058,0.8290000000000001
Sunday,3,Diwali,0,Clear,887,0.6435
Thursday,16,Eid,1,Clear,1831,1.0
Sunday,11,Ganesh Chaturthi,1,Rainy,736,0.668
Wednesday,10,None,1,Cloudy,1411,0.8055
Monday,14,Ganesh Chaturthi,0,Rainy,1908,1.0
Thursday,18,Christmas,1,Rainy,1154,0.8769999999999999
Thursday,13,Christmas,1,Clear,1794,1.0
Monday,16,None,1,Rainy,316,0.258
Thursday,13,Eid,1,Cloudy,651,0.6255000000000001
Wednesday,23,Christmas,1,Rainy,1353,0.9765
Wednesday,3,Eid,0,Rainy,185,0.2925
Tuesday,17,Christmas,1,Cloudy,780,0.6900000000000001
Saturday,19,Diwali,0,Cloudy,480,0.44
Saturday,17,Diwali,0,Rainy,1033,0.7164999999999999
Monday,0,Diwali,1,Clear,245,0.4225
Monday,12,None,0,Cloudy,1103,0.5515
Monday,14,Ganesh Chaturthi,0,Rainy,1211,0.8055000000000001
Tuesday,0,Ganesh Chaturthi,1,Clear,1682,1.0
Wednesday,18,None,0,Rainy,749,0.3745
Thursday,21,Ganesh Chaturthi,1,Cloudy,1214,0.9069999999999999
Monday,8,Diwali,0,Clear,180,0.29000000000000004
Thursday,1,Ganesh Chaturthi,0,Clear,456,0.42800000000000005
Monday,18,Diwali,1,Rainy,1071,0.8355
Sunday,1,Christmas,1,Rainy,558,0.5790000000000001
Friday,18,None,0,Cloudy,1869,0.9345
Tuesday,11,None,0,Cloudy,990,0.495
Friday,2,Eid,0,Cloudy,747,0.5735
Tuesday,16,None,0,Clear,963,0.4815
Tuesday,10,Christmas,0,Cloudy,614,0.507
Sunday,16,Christmas,1,Rainy,269,0.4345
Sunday,15,Christmas,0,Cloudy,277,0.3385
Saturday,19,None,0,Cloudy,1130,0.565
Tuesday,18,Christmas,1,Cloudy,1883,1.0
Monday,11,Diwali,1,Rainy,1437,1.0
Sunday,23,Diwali,1,Cloudy,1886,1.0
Tuesday,8,Eid,0,Rainy,945,0.6725
Monday,6,Diwali,1,Cloudy,959,0.7795
Tuesday,1,Diwali,0,Rainy,1932,1.0
Monday,1,None,1,Rainy,675,0.4375
Thursday,4,Christmas,0,Rainy,1001,0.7004999999999999
Monday,22,None,0,Clear,654,0.327
Friday,21,Ganesh Chaturthi,0,Cloudy,281,0.3405
Saturday,18,Ganesh Chaturthi,0,Clear,511,0.4555
Thursday,7,Eid,0,Cloudy,183,0.2915
Saturday,23,None,1,Cloudy,121,0.1605
Monday,2,None,0,Rainy,1086,0.543
Sunday,17,Ganesh Chaturthi,0,Cloudy,385,0.3925
Wednesday,0,Christmas,0,Clear,1972,1.0
Monday,0,Diwali,1,Rainy,1801,1.0
Tuesday,6,Christmas,1,Clear,157,0.37850000000000006
Wednesday,18,Eid,1,Clear,105,0.35250000000000004
Sunday,21,Eid,0,Cloudy,1534,0.9670000000000001
Sunday,19,Diwali,1,Clear,1644,1.0
Wednesday,17,Diwali,1,Cloudy,330,0.46499999999999997
Thursday,4,Eid,1,Clear,233,0.4165
Monday,23,Diwali,0,Rainy,676,0.538
Thursday,15,Diwali,0,Rainy,1882,1.0
Thursday,6,Diwali,0,Cloudy,872,0.636
Sunday,14,Ganesh Chaturthi,1,Cloudy,229,0.4145
Monday,10,Christmas,0,Cloudy,1309,0.8545
Tuesday,2,Diwali,1,Rainy,323,0.4615
Sunday,18,None,1,Cloudy,1092,0.646
Thursday,9,Diwali,0,Clear,1742,1.0
Monday,7,None,1,Clear,1616,0.908
Friday,6,Eid,0,Cloudy,703,0.5515
Saturday,1,Eid,0,Cloudy,1256,0.8280000000000001
Sunday,7,None,0,Cloudy,1134,0.567
Thursday,16,Eid,1,Rainy,801,0.7005
Thursday,1,Ganesh Chaturthi,1,Cloudy,1128,0.864
Saturday,16,Eid,1,Cloudy,898,0.749
Tuesday,22,Diwali,0,Cloudy,1773,1.0
Monday,16,Eid,1,Cloudy,1489,1.0
Tuesday,3,Christmas,1,Cloudy,1917,1.0
Monday,15,Diwali,1,Rainy,898,0.749
Friday,11,Diwali,1,Rainy,1343,0.9714999999999999
Saturday,1,Diwali,0,Rainy,1790,1.0
Sunday,4,None,0,Cloudy,1347,0.6735
Thursday,4,Eid,0,Cloudy,705,0.5525
Tuesday,6,None,0,Rainy,1249,0.6245
Sunday,20,Diwali,1,Clear,478,0.539
Wednesday,11,Ganesh Chaturthi,0,Clear,104,0.252
Saturday,4,Eid,0,Clear,1611,1.0
Saturday,4,None,0,Rainy,1910,0.955
Monday,11,None,1,Rainy,1767,0.9834999999999999
Tuesday,3,Eid,0,Cloudy,416,0.40800000000000003
Thursday,4,Ganesh Chaturthi,1,Rainy,473,0.5365
Tuesday,6,Ganesh Chaturthi,1,Clear,578,0.589
Saturday,9,Ganesh Chaturthi,1,Clear,1859,1.0
Wednesday,3,Ganesh Chaturthi,1,Clear,1368,0.9840000000000001
Saturday,14,Ganesh Chaturthi,0,Rainy,176,0.28800000000000003
Tuesday,10,Christmas,1,Clear,1931,1.0
Tuesday,12,Christmas,0,Cloudy,1142,0.7709999999999999
Saturday,18,Diwali,0,Cloudy,1723,1.0
Wednesday,18,None,0,Rainy,1399,0.6995
Thursday,22,Christmas,1,Clear,554,0.5770000000000001
Wednesday,22,Christmas,0,Clear,310,0.355
Tuesday,13,Diwali,0,Cloudy,681,0.5405
Wednesday,8,Diwali,0,Cloudy,1822,1.0
Thursday,20,Diwali,1,Cloudy,449,0.5245
Friday,13,Christmas,0,Rainy,958,0.679
Monday,12,Diwali,1,Rainy,333,0.4665
Thursday,6,None,0,Rainy,879,0.4395
Wednesday,1,Eid,0,Clear,1014,0.7070000000000001
Monday,6,None,0,Clear,494,0.247
Saturday,6,Eid,0,Rainy,1955,1.0
Monday,18,None,0,Clear,311,0.1555
Sunday,21,Diwali,0,Clear,221,0.3105
Saturday,11,Diwali,0,Clear,1801,1.0
Wednesday,5,Ganesh Chaturthi,1,Clear,660,0.63
Tuesday,8,Diwali,1,Cloudy,1194,0.8969999999999999
Tuesday,7,Diwali,1,Cloudy,726,0.6629999999999999
Saturday,15,Diwali,1,Rainy,1032,0.816
Wednesday,20,Christmas,1,Cloudy,1817,1.0
Tuesday,15,Christmas,1,Cloudy,1469,1.0
Thursday,15,Eid,1,Cloudy,1593,1.0
Tuesday,20,None,1,Clear,246,0.223
Friday,16,Christmas,0,Cloudy,1082,0.7410000000000001
Sunday,18,Ganesh Chaturthi,0,Rainy,1432,0.9159999999999999
Monday,5,Christmas,0,Clear,1832,1.0
Monday,20,Ganesh Chaturthi,0,Cloudy,683,0.5415000000000001
Tuesday,0,Ganesh Chaturthi,0,Cloudy,1431,0.9155
Friday,14,Ganesh Chaturthi,0,Clear,1285,0.8425
Tuesday,8,Christmas,1,Rainy,1883,1.0
Friday,11,None,1,Clear,1309,0.7545
Thursday,6,Diwali,0,Clear,1667,1.0
Wednesday,19,Eid,0,Clear,1450,0.925
Monday,12,Christmas,1,Rainy,739,0.6695
Monday,18,Christmas,1,Rainy,204,0.402
Friday,1,Christmas,1,Rainy,982,0.791
Tuesday,15,None,1,Cloudy,1518,0.859
Thursday,14,None,1,Rainy,369,0.2845
Monday,16,Christmas,0,Clear,100,0.25
Thursday,12,Christmas,0,Clear,205,0.3025
Saturday,14,Eid,0,Rainy,1392,0.8959999999999999
Saturday,21,None,0,Cloudy,521,0.2605
Friday,12,Ganesh Chaturthi,1,Rainy,941,0.7705
Sunday,21,None,1,Clear,1082,0.641
Sunday,0,Ganesh Chaturthi,0,Cloudy,896,0.648
Wednesday,0,Eid,0,Cloudy,1794,1.0
Wednesday,16,Christmas,0,Clear,1302,0.851
Saturday,10,Ganesh Chaturthi,1,Rainy,1402,1.0
Saturday,21,Christmas,0,Clear,128,0.264
Sunday,1,Christmas,1,Rainy,574,0.587
Thursday,2,None,0,Cloudy,1192,0.596
Monday,16,Ganesh Chaturthi,1,Cloudy,227,0.4135
Thursday,21,Christmas,1,Cloudy,1101,0.8504999999999999
Monday,5,Diwali,1,Rainy,350,0.475
Friday,18,Christmas,0,Clear,411,0.40549999999999997
Friday,23,Ganesh Chaturthi,1,Cloudy,789,0.6945
Saturday,13,None,1,Cloudy,724,0.46199999999999997
Saturday,9,Ganesh Chaturthi,0,Clear,1288,0.8440000000000001
Saturday,11,Christmas,0,Rainy,1325,0.8625
Wednesday,10,Eid,0,Cloudy,1579,0.9895
Thursday,15,None,1,Cloudy,788,0.494
Monday,7,Diwali,1,Cloudy,1769,1.0
Thursday,8,None,0,Rainy,1280,0.64
Thursday,11,None,0,Clear,239,0.1195
Sunday,8,Eid,1,Cloudy,1211,0.9055000000000001
Tuesday,9,Eid,1,Clear,762,0.6809999999999999
Thursday,18,None,0,Clear,1505,0.7525
Monday,7,None,1,Clear,115,0.1575
Wednesday,1,Christmas,1,Rainy,962,0.781
Saturday,3,None,0,Clear,160,0.08
Tuesday,8,Ganesh Chaturthi,0,Cloudy,1368,0.8840000000000001
Tuesday,2,Eid,1,Rainy,1319,0.9594999999999999
Monday,6,Eid,1,Clear,1124,0.862
Friday,14,None,1,Clear,503,0.35150000000000003
Sunday,0,None,0,Cloudy,1136,0.568
Friday,21,Diwali,1,Clear,1670,1.0
Saturday,11,Ganesh Chaturthi,1,Cloudy,1813,1.0
Monday,16,Diwali,0,Cloudy,1738,1.0
Wednesday,11,Diwali,0,Rainy,1961,1.0
Tuesday,2,None,1,Clear,1563,0.8815
Thursday,14,Christmas,1,Rainy,1626,1.0
Tuesday,14,None,1,Clear,970,0.585
Friday,23,Eid,1,Cloudy,1406,1.0
Thursday,14,Diwali,1,Cloudy,535,0.5675
Friday,20,None,0,Cloudy,565,0.2825
Friday,7,Christmas,0,Clear,1868,1.0
Saturday,18,Eid,1,Rainy,1378,0.989
Wednesday,21,Ganesh Chaturthi,0,Clear,942,0.671
Tuesday,12,Ganesh Chaturthi,0,Rainy,1434,0.917
Wednesday,3,None,1,Cloudy,1225,0.7125
Sunday,1,None,1,Cloudy,1223,0.7115
Wednesday,1,None,1,Clear,303,0.2515
Monday,3,Christmas,1,Clear,1762,1.0
Wednesday,5,Ganesh Chaturthi,1,Clear,250,0.42500000000000004
Thursday,2,Christmas,1,Rainy,1812,1.0
Friday,16,None,1,Cloudy,592,0.396
Wednesday,13,Ganesh Chaturthi,0,Cloudy,1871,1.0
Friday,16,Eid,0,Rainy,1696,1.0
Friday,5,Ganesh Chaturthi,0,Rainy,1883,1.0
Saturday,22,Ganesh Chaturthi,0,Rainy,1639,1.0
Sunday,10,Diwali,0,Cloudy,1736,1.0
Tuesday,7,None,0,Clear,215,0.1075
Sunday,14,Diwali,1,Cloudy,1646,1.0
Wednesday,19,Diwali,1,Rainy,451,0.5255
Wednesday,11,None,1,Clear,542,0.371
Saturday,12,Eid,1,Cloudy,1049,0.8244999999999999
Wednesday,14,Diwali,0,Rainy,729,0.5645
Wednesday,23,Diwali,1,Cloudy,148,0.374
Wednesday,14,Ganesh Chaturthi,0,Cloudy,748,0.5740000000000001
Thursday,14,Eid,0,Clear,1980,1.0
Tuesday,12,Eid,1,Clear,855,0.7274999999999999
Wednesday,22,Ganesh Chaturthi,0,Clear,335,0.36750000000000005
Saturday,5,Ganesh Chaturthi,0,Clear,1203,0.8015000000000001
Saturday,1,None,1,Clear,852,0.526
Sunday,18,None,1,Clear,1447,0.8235
Saturday,7,None,0,Clear,339,0.1695
Saturday,7,Ganesh Chaturthi,0,Clear,1618,1.0
Tuesday,3,None,0,Cloudy,1355,0.6775
Thursday,17,Eid,0,Rainy,1083,0.7415
Thursday,18,Christmas,0,Clear,158,0.279
Tuesday,21,Ganesh Chaturthi,0,Cloudy,510,0.455
Friday,15,Christmas,1,Cloudy,1808,1.0
Friday,5,Ganesh Chaturthi,0,Cloudy,293,0.34650000000000003
Wednesday,15,Ganesh Chaturthi,1,Rainy,849,0.7245
Friday,6,Diwali,1,Cloudy,848,0.724
Sunday,3,Christmas,0,Clear,821,0.6105
Friday,11,Ganesh Chaturthi,0,Rainy,824,0.612
Tuesday,1,Christmas,0,Rainy,1509,0.9544999999999999
Sunday,16,Diwali,0,Clear,819,0.6094999999999999
Thursday,10,Ganesh Chaturthi,1,Cloudy,1906,1.0
Wednesday,1,None,1,Rainy,1121,0.6605
Sunday,0,None,1,Clear,1013,0.6064999999999999
Saturday,0,Christmas,1,Cloudy,1710,1.0
Saturday,5,Diwali,1,Cloudy,221,0.4105
Thursday,16,Diwali,1,Clear,1182,0.8909999999999999
Tuesday,5,Ganesh Chaturthi,1,Rainy,1378,0.989
Saturday,18,None,0,Clear,1913,0.9565
Monday,11,None,1,Clear,1509,0.8544999999999999
Sunday,23,Eid,1,Rainy,1882,1.0
Tuesday,23,Christmas,1,Clear,1554,1.0
Saturday,1,None,1,Rainy,470,0.33499999999999996
Wednesday,14,Diwali,0,Cloudy,575,0.4875
Thursday,1,Diwali,1,Cloudy,927,0.7635
Sunday,8,Eid,0,Cloudy,1000,0.7
Sunday,11,Eid,1,Rainy,1716,1.0
Wednesday,23,Ganesh Chaturthi,0,Cloudy,1026,0.7130000000000001
Friday,3,Christmas,1,Cloudy,1859,1.0
Thursday,19,Eid,0,Cloudy,1419,0.9095
Wednesday,2,Ganesh Chaturthi,1,Clear,945,0.7725
Saturday,7,Christmas,1,Rainy,685,0.6425
Sunday,13,Christmas,0,Rainy,1626,1.0
Wednesday,18,None,0,Rainy,670,0.335
Saturday,10,None,1,Cloudy,1996,1.0
Friday,1,Diwali,0,Rainy,1199,0.7995000000000001
Friday,9,Diwali,1,Cloudy,1760,1.0
Saturday,10,Ganesh Chaturthi,0,Rainy,330,0.365
Saturday,5,Diwali,1,Clear,1541,1.0
Tuesday,22,Christmas,1,Cloudy,356,0.478
Tuesday,0,Ganesh Chaturthi,0,Rainy,509,0.4545
Friday,18,Christmas,0,Cloudy,726,0.563
Sunday,7,Ganesh Chaturthi,0,Clear,967,0.6835
Thursday,13,Ganesh Chaturthi,1,Cloudy,194,0.397
Monday,5,Eid,1,Clear,333,0.4665
Monday,10,Christmas,0,Rainy,187,0.2935
Tuesday,12,Eid,0,Cloudy,1900,1.0
Sunday,16,Diwali,1,Cloudy,415,0.5075
Sunday,12,Christmas,0,Clear,1555,0.9775
Sunday,4,Eid,1,Rainy,1223,0.9115000000000001
Monday,6,None,1,Cloudy,722,0.46099999999999997
Monday,10,Ganesh Chaturthi,0,Cloudy,1904,1.0
Monday,23,Christmas,1,Cloudy,283,0.4415
Monday,16,Diwali,0,Clear,431,0.4155
Thursday,8,Ganesh Chaturthi,0,Rainy,499,0.4495
Sunday,11,Eid,1,Rainy,208,0.404
Saturday,5,Diwali,1,Cloudy,1958,1.0
Sunday,2,Ganesh Chaturthi,1,Clear,272,0.43600000000000005
Wednesday,14,Ganesh Chaturthi,0,Clear,768,0.5840000000000001
Wednesday,6,None,1,Cloudy,122,0.161
Saturday,15,Diwali,0,Rainy,246,0.323
Tuesday,23,Diwali,0,Cloudy,721,0.5605
Monday,9,Diwali,1,Clear,1555,1.0
Saturday,23,Christmas,1,Cloudy,1540,1.0
Sunday,5,Christmas,1,Clear,1571,1.0
Sunday,23,Eid,0,Rainy,1086,0.7430000000000001
Sunday,5,Ganesh Chaturthi,0,Rainy,293,0.34650000000000003
Monday,22,Christmas,0,Cloudy,1251,0.8254999999999999
Monday,4,Christmas,0,Clear,1487,0.9435
Friday,7,Eid,0,Cloudy,116,0.258
Saturday,9,Eid,1,Cloudy,1135,0.8675
Thursday,21,None,0,Clear,1366,0.683
Sunday,17,Christmas,1,Rainy,275,0.4375
Sunday,4,Diwali,1,Cloudy,816,0.708
Friday,10,Diwali,1,Rainy,464,0.532
Friday,17,Christmas,0,Clear,616,0.508
Monday,10,Christmas,0,Clear,719,0.5595
Saturday,15,Diwali,1,Clear,1478,1.0
Sunday,4,Eid,0,Clear,896,0.648
Saturday,12,Christmas,1,Cloudy,1161,0.8805
Wednesday,15,Christmas,0,Cloudy,1160,0.78
Sunday,12,Eid,0,Rainy,1721,1.0
Monday,8,Ganesh Chaturthi,0,Rainy,1433,0.9165000000000001
Friday,8,Eid,0,Cloudy,192,0.29600000000000004
Thursday,23,Ganesh Chaturthi,0,Clear,278,0.339
Sunday,1,None,1,Clear,742,0.471
Monday,8,Eid,1,Cloudy,1546,1.0
Sunday,8,Ganesh Chaturthi,1,Rainy,1831,1.0
Friday,19,Diwali,1,Rainy,1023,0.8115
Monday,3,None,1,Cloudy,1071,0.6355
Friday,13,Ganesh Chaturthi,0,Rainy,1993,1.0
Wednesday,6,None,0,Cloudy,1315,0.6575
Tuesday,14,Christmas,0,Clear,1721,1.0
Tuesday,22,Christmas,0,Clear,1681,1.0
Monday,14,Christmas,1,Cloudy,145,0.37250000000000005
Wednesday,14,Christmas,0,Rainy,692,0.546
Thursday,7,None,1,Rainy,1657,0.9285
Wednesday,22,None,1,Clear,1318,0.759
Monday,20,Ganesh Chaturthi,0,Clear,1391,0.8955
Wednesday,17,None,1,Clear,265,0.2325
Monday,5,Christmas,0,Cloudy,186,0.29300000000000004
Saturday,20,Christmas,1,Cloudy,1273,0.9365
Tuesday,14,Eid,0,Rainy,1105,0.7525
Monday,10,Diwali,0,Clear,521,0.4605
Friday,19,Diwali,1,Rainy,1565,1.0
Wednesday,20,Christmas,1,Cloudy,370,0.485
Tuesday,20,None,1,Clear,1012,0.606
Friday,23,Christmas,1,Clear,1820,1.0
Friday,9,Christmas,1,Rainy,1161,0.8805
Thursday,0,Ganesh Chaturthi,1,Clear,305,0.4525
Friday,5,Eid,0,Rainy,1090,0.7450000000000001
Friday,17,Christmas,1,Clear,1254,0.9269999999999999
Sunday,13,Diwali,1,Clear,866,0.733
Monday,20,None,0,Clear,1439,0.7195
Saturday,12,Ganesh Chaturthi,0,Clear,1591,0.9955
Monday,11,Ganesh Chaturthi,0,Clear,1526,0.9630000000000001
Friday,22,Christmas,1,Clear,1953,1.0
Tuesday,0,Diwali,0,Cloudy,475,0.4375
Tuesday,7,None,1,Cloudy,690,0.44499999999999995
Sunday,3,None,0,Clear,1098,0.549
Sunday,9,Diwali,0,Clear,1258,0.829
Saturday,4,None,1,Clear,1366,0.783
Saturday,11,Christmas,0,Rainy,529,0.4645
Friday,3,Ganesh Chaturthi,0,Clear,1360,0.8800000000000001
Friday,2,None,0,Rainy,1036,0.518
Tuesday,8,Ganesh Chaturthi,0,Rainy,431,0.4155
Tuesday,4,Diwali,1,Rainy,1216,0.908
Sunday,23,Christmas,1,Cloudy,1429,1.0
Tuesday,8,Diwali,0,Rainy,1433,0.9165000000000001
Friday,22,Eid,0,Cloudy,1878,1.0
Sunday,7,None,0,Rainy,986,0.493
